Question,Answer,Source Pages,Importance,Concept,Concept Path,Tags
"What are the main components of a computer?","Processor components, Input devices, Output devices, Storage devices.","1-2-3-4-5","10","Components of a computer","Components of a computer","page-1-2-3-4-5,cs,textbook,Processor components,Input devices,Output devices,Storage devices"
"What is the role of the Arithmetic Logic Unit (ALU) in a CPU?","It performs arithmetic and logical operations.","1-2-3-4-5","9","Arithmetic Logic Unit (ALU)","Central Processing Unit (CPU) > Arithmetic Logic Unit (ALU)","page-1-2-3-4-5,cs,textbook,Processor components,Central Processing Unit (CPU)"
"What are the different types of registers in a CPU?","Program Counter, Accumulator, Memory Address Register, Memory Data Register, Current Instruction Register.","1-2-3-4-5","9","Registers","Central Processing Unit (CPU) > Registers","page-1-2-3-4-5,cs,textbook,Central Processing Unit (CPU),Processor components"
"What does the Program Counter (PC) do?","It holds the address of the next instruction to be executed.","1-2-3-4-5","9","Program Counter","Central Processing Unit (CPU) > Registers > Program Counter","page-1-2-3-4-5,cs,textbook,Registers,Central Processing Unit (CPU)"
"What is the function of the Accumulator in a CPU?","It stores intermediate results of arithmetic and logic operations.","1-2-3-4-5","9","Accumulator","Central Processing Unit (CPU) > Registers > Accumulator","page-1-2-3-4-5,cs,textbook,Registers,Central Processing Unit (CPU)"
"What does the Memory Address Register (MAR) do?","It holds the address of data that needs to be accessed from memory.","1-2-3-4-5","9","Memory Address Register (MAR)","Central Processing Unit (CPU) > Registers > Memory Address Register (MAR)","page-1-2-3-4-5,cs,textbook,Registers,Central Processing Unit (CPU)"
"What is the function of the Memory Data Register (MDR)?","It holds the data being transferred to or from memory.","1-2-3-4-5","9","Memory Data Register (MDR)","Central Processing Unit (CPU) > Registers > Memory Data Register (MDR)","page-1-2-3-4-5,cs,textbook,Registers,Central Processing Unit (CPU)"
"What does the Current Instruction Register (CIR) do?","It holds the instruction currently being executed.","1-2-3-4-5","9","Current Instruction Register (CIR)","Central Processing Unit (CPU) > Registers > Current Instruction Register (CIR)","page-1-2-3-4-5,cs,textbook,Registers,Central Processing Unit (CPU)"
"What factors affect processor performance?","Clock speed, number of cores, cache size, and instruction set architecture.","1-2-3-4-5","9","Processor performance","Components of a computer > Processor performance","page-1-2-3-4-5,cs,textbook,Components of a computer"
"What are the main types of input devices?","Keyboard, mouse, scanner, microphone.","1-2-3-4-5","7","Input devices","Components of a computer > Input devices","page-1-2-3-4-5,cs,textbook,Components of a computer"
"What are common output devices?","Monitor, printer, speakers.","1-2-3-4-5","7","Output devices","Components of a computer > Output devices","page-1-2-3-4-5,cs,textbook,Components of a computer"
