What are the main components of a computer?; Processor components, Input devices, Output devices, Storage devices.; page-1-2-3-4-5 cs textbook Processor components Input devices Output devices Storage devices importance:10
What is the role of the Arithmetic Logic Unit (ALU) in a CPU?; It performs arithmetic and logical operations.; page-1-2-3-4-5 cs textbook Processor components Central Processing Unit (CPU) importance:9
What are the different types of registers in a CPU?; Program Counter, Accumulator, Memory Address Register, Memory Data Register, Current Instruction Register.; page-1-2-3-4-5 cs textbook Central Processing Unit (CPU) Processor components importance:9
What does the Program Counter (PC) do?; It holds the address of the next instruction to be executed.; page-1-2-3-4-5 cs textbook Registers Central Processing Unit (CPU) importance:9
What is the function of the Accumulator in a CPU?; It stores intermediate results of arithmetic and logic operations.; page-1-2-3-4-5 cs textbook Registers Central Processing Unit (CPU) importance:9
What does the Memory Address Register (MAR) do?; It holds the address of data that needs to be accessed from memory.; page-1-2-3-4-5 cs textbook Registers Central Processing Unit (CPU) importance:9
What is the function of the Memory Data Register (MDR)?; It holds the data being transferred to or from memory.; page-1-2-3-4-5 cs textbook Registers Central Processing Unit (CPU) importance:9
What does the Current Instruction Register (CIR) do?; It holds the instruction currently being executed.; page-1-2-3-4-5 cs textbook Registers Central Processing Unit (CPU) importance:9
What factors affect processor performance?; Clock speed, number of cores, cache size, and instruction set architecture.; page-1-2-3-4-5 cs textbook Components of a computer importance:9
What are the main types of input devices?; Keyboard, mouse, scanner, microphone.; page-1-2-3-4-5 cs textbook Components of a computer importance:7
What are common output devices?; Monitor, printer, speakers.; page-1-2-3-4-5 cs textbook Components of a computer importance:7
What types of storage devices are there?; Hard drives, SSDs, USB flash drives, optical discs.; page-1-2-3-4-5 cs textbook Components of a computer importance:8
What are the main functions of an operating system?; Managing hardware resources, providing a user interface, managing files and processes.; page-1-2-3-4-5 cs textbook Systems software importance:9
What are the types of operating systems?; Batch, time-sharing, distributed, embedded, real-time.; page-1-2-3-4-5 cs textbook Systems software importance:8
What is the purpose of writing and following algorithms in software development?; To provide a clear set of instructions for solving problems.; page-1-2-3-4-5 cs textbook Software development importance:8
What is pseudocode?; A method for designing algorithms using a structured, human-readable format.; page-1-2-3-4-5 cs textbook Writing and following algorithms Software development importance:8
What are database concepts?; Fundamental ideas about how data is stored, managed, and manipulated.; page-1-2-3-4-5 cs textbook Exchanging data importance:8
What is SQL?; Structured Query Language used for managing and querying relational databases.; page-1-2-3-4-5 cs textbook Database concepts Exchanging data importance:9
What operations can be performed using SQL?; Creating, updating, deleting, and querying data in databases.; page-1-2-3-4-5 cs textbook SQL Database concepts importance:9
What is the purpose of data compression?; To reduce the size of data for storage or transmission.; page-1-2-3-4-5 cs textbook Exchanging data importance:8
What is encryption?; The process of converting data into a coded format to prevent unauthorized access.; page-1-2-3-4-5 cs textbook Exchanging data importance:8
