Question,Answer,Source Pages,Tags
"What is the main aim of the book "OCR AS and A Level Computer Science"?","The main aim of the book is to provide detailed coverage of the topics in the new OCR AS and A Level Computer Science specification.

Flashcard 2:","1-2-3-4-5","page-1-2-3-4-5,cs,textbook"
"How is the content of the book organized for teaching purposes?","The book is divided into twelve sections, with each chapter covering material that can comfortably be taught in one or two lessons.

Flashcard 3:","1-2-3-4-5","page-1-2-3-4-5,cs,textbook"
"What programming approach does the book utilize in its algorithms?","The book uses pseudocode for the algorithms, rather than any specific programming language.

Flashcard 4:","1-2-3-4-5","page-1-2-3-4-5,cs,textbook"
"What resource is available to teachers for assessment preparation?","A free Teacher's Pack is available, which includes answers to exercises and questions in the book.

Flashcard 5:","1-2-3-4-5","page-1-2-3-4-5,cs,textbook"
"What are Sections 10, 11, and 12 of the book primarily focused on?","Sections 10, 11, and 12 principally relate to problem-solving skills and cover programming techniques in sufficient depth for Component 02.","1-2-3-4-5","page-1-2-3-4-5,cs,textbook"
"What are the main components of the Central Processing Unit (CPU)?","The main components of the CPU include the control unit, arithmetic/logic unit (ALU), buses, and dedicated registers.

Flashcard 2:","5-6-7-8-9-10","page-5-6-7-8-9-10,cs,textbook"
"What is the role of the Control Unit in the CPU?","The Control Unit controls and coordinates the activities of the CPU, directing the flow of data between the CPU and other devices, managing instruction execution, and storing resulting data.

Flashcard 3:","5-6-7-8-9-10","page-5-6-7-8-9-10,cs,textbook"
"What is the function of the Fetch-Execute cycle in a CPU?","The Fetch-Execute cycle involves the CPU fetching an instruction from memory, decoding it, executing the instruction, and then storing the resulting data back in memory or registers.

Flashcard 4:","5-6-7-8-9-10","page-5-6-7-8-9-10,cs,textbook"
"Describe the purpose of the system bus in a computer.","The system bus connects the processor, memory, and I/O controllers, consisting of data, address, and control buses, allowing for the transmission of data and control signals.

Flashcard 5:","5-6-7-8-9-10","page-5-6-7-8-9-10,cs,textbook"
"How do the data, address, and control buses differ in their function?","The data bus carries data in both directions, the address bus sends addresses from the CPU to memory or I/O controllers (one way), and the control bus transmits control signals in both directions.","5-6-7-8-9-10","page-5-6-7-8-9-10,cs,textbook"
"What are the three main buses in a computer system and what is their collective name?","The three main buses are the control bus, data bus, and address bus, collectively known as the system bus.

Flashcard 2:","10-11-12","page-10-11-12,cs,textbook"
"What is the purpose of the control bus in a computer system?","The control bus transmits command, timing, and specific status information between system components, ensuring proper access and use of the data and address buses.

Flashcard 3:","10-11-12","page-10-11-12,cs,textbook"
"Describe the function of the Arithmetic-Logic Unit (ALU).","The ALU performs arithmetic and logical operations on data, including addition, subtraction, multiplication, division, shift operations, and Boolean logic operations.

Flashcard 4:","10-11-12","page-10-11-12,cs,textbook"
