Question,Answer,Source Pages,Importance,Concept,Tags
"What are the main components of the Central Processing Unit (CPU)?","The main components of the CPU include the control unit, arithmetic/logic unit (ALU), buses, and dedicated registers.","5-6-7-8-9-10","10","Central Processing Unit (CPU)","page-5-6-7-8-9-10,cs,textbook"
"Describe the Fetch-Execute cycle.","The Fetch-Execute cycle consists of fetching an instruction from memory, decoding it, executing it, and then storing the result back in memory or registers.","5-6-7-8-9-10","10","Fetch-Execute Cycle","page-5-6-7-8-9-10,cs,textbook"
"What is the Fetch-Execute cycle?","The Fetch-Execute cycle is the process by which the CPU retrieves an instruction from memory, decodes it, and then executes it.","14-15","10","Fetch-Execute cycle","page-14-15,cs,textbook"
"Describe the Fetch-Decode-Execute cycle.","It is a continuous process that involves fetching an instruction, decoding it, and executing it repeatedly for each instruction in a program.","12-13-14","10","Fetch-Decode-Execute Cycle","page-12-13-14,cs,textbook"
"At which stage of the Fetch-Decode-Execute cycle is the ALU used?","The ALU is used during the Execute phase of the cycle to perform operations on the operand.","12-13-14","10","Fetch-Decode-Execute Cycle","page-12-13-14,cs,textbook"
"What are the main components of a processor?","The main components of a processor include the Arithmetic Logic Unit (ALU), Control Unit (CU), and registers.","1-2-3-4-5","9","Processor components","page-1-2-3-4-5,cs,textbook"
"How is processor performance typically measured?","Processor performance is typically measured in terms of clock speed, instruction set architecture, and the number of cores.","1-2-3-4-5","9","Processor performance","page-1-2-3-4-5,cs,textbook"
"What are the key functions of an operating system?","Key functions of an operating system include managing hardware resources, providing a user interface, and executing applications.","1-2-3-4-5","9","Functions of an operating system","page-1-2-3-4-5,cs,textbook"
"What is the significance of writing and following algorithms?","Writing and following algorithms is significant as it provides a clear step-by-step procedure for solving problems and implementing solutions.","1-2-3-4-5","9","Writing and following algorithms","page-1-2-3-4-5,cs,textbook"
"What are the fundamental concepts of databases?","Fundamental concepts of databases include data storage, data retrieval, and data management using structured formats.","1-2-3-4-5","9","Database concepts","page-1-2-3-4-5,cs,textbook"
"What is normalization in the context of relational databases?","Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity.","1-2-3-4-5","9","Relational databases and normalisation","page-1-2-3-4-5,cs,textbook"
"What is SQL and its primary purpose?","SQL, or Structured Query Language, is used for managing and manipulating relational databases.","1-2-3-4-5","9","Introduction to SQL","page-1-2-3-4-5,cs,textbook"
"What is the role of the Control Unit in the CPU?","The Control Unit controls and coordinates the activities of the CPU, directing the flow of data between the CPU and other devices, decoding instructions, and managing execution.","5-6-7-8-9-10","9","Control Unit","page-5-6-7-8-9-10,cs,textbook"
"What is the function of the Arithmetic Logic Unit (ALU)?","The ALU performs arithmetic and logic operations as part of the CPU's function in executing instructions.","5-6-7-8-9-10","9","Arithmetic Logic Unit (ALU)","page-5-6-7-8-9-10,cs,textbook"
"What is the function of the Arithmetic Logic Unit (ALU)?","The ALU performs arithmetic and logic operations on the data.","12-13-14","9","Arithmetic Logic Unit (ALU)","page-12-13-14,cs,textbook"
